#名前,"性別(0=両,1=男,2=女)",レア度,スロット1,スロット2,スロット3,入手時期,初期防御力,最終防御力,火耐性,水耐性,雷耐性,氷耐性,龍耐性,スキル系統1,スキル値1,スキル系統2,スキル値2,スキル系統3,スキル値3,スキル系統4,スキル値4,スキル系統5,スキル値5,生産素材1,個数,生産素材2,個数,生産素材3,個数,生産素材4,個数,カスタム強化防御力,カスタム強化素材1,個数1,カスタム強化素材2,個数2,ワンセット防具,仮番号,錬成テーブル
狗竜の革臑当Ｓ,0,4,2,1,0,,42,98,0,0,0,1,0,乗り名人,1,,,,,,,,,ジャギィの上鱗,2,ジャギィの上皮,3,フロギィの上鱗,1,バギィの上鱗,2,,,,,,,250,
ラングロＳグリーヴ,0,4,1,1,0,,50,106,2,-3,0,-1,1,高速変形,1,回避距離ＵＰ,2,,,,,,,赤甲獣の堅殻,2,赤甲獣の尖爪,1,強力麻痺袋,2,ユニオン鉱石,2,,,,,,,280,
ルドロスＳグリーヴ,0,4,3,0,0,,48,104,-3,4,-1,0,0,強化持続,2,,,,,,,,,水獣の上鱗,3,水獣の鋭爪,2,水生獣の上皮,2,鋭利な爪,2,,,,,,,290,
ボロスＳグリーヴ,0,4,2,1,0,,50,106,-3,-1,3,-1,0,ガード性能,1,防御,1,攻めの守勢,1,,,,,土砂竜の堅殻,3,土砂竜の鋭爪,2,豊沃なドロ,2,埋もれた竜骨骸,3,,,,,,,300,
テンゴＳグリーヴ,0,5,2,1,1,,52,108,-2,2,2,-4,2,渾身,1,,,,,,,,,天狗獣の上腕羽,4,天狗獣の尖爪,2,天狗獣の堅尾甲,1,ファンゴの上毛皮,2,,,,,,,310,
プケプケＳグリーヴ,0,5,1,1,1,,50,106,0,3,-3,0,1,体術,1,弾導強化,1,,,,,,,毒妖鳥の堅殻,4,毒妖鳥の大喉袋,2,毒妖鳥の翼,2,,,,,,,,,320,
ジュラグリーヴ,0,5,2,1,1,,48,104,-1,2,-3,0,0,ガード強化,2,,,,,,,,,泥魚竜の上鱗,3,大水袋,2,泥魚竜の鋭牙,1,上質なヒレ,3,,,,,,,330,
バサルＳグリーヴ,0,5,3,0,0,,52,108,0,-2,1,1,-3,砲弾装填,1,防御,1,,,,,,,岩竜の堅殻,3,岩竜の堅胸殻,1,岩竜の尻尾,2,紅蓮石,2,,,,,,,340,
レイアＳグリーヴ,0,5,2,0,0,,52,108,3,0,-2,0,-3,属性やられ耐性,1,満足感,1,,,,,,,雌火竜の上鱗,4,雌火竜の翼膜,2,火竜の鋭翼爪,1,尖竜骨,2,,,,,,,350,
クロムメタルブーツ,0,5,3,0,0,,46,92,-2,-2,-2,-2,-2,ひるみ軽減,2,,,,,,,,,ノヴァクリスタル,1,獄炎石,1,ユニオン鉱石,3,天狗獣の堅頭襟,2,,,,,,,370,
ドーベルグリーヴ,0,5,2,0,0,,52,98,-2,0,0,0,4,龍属性攻撃強化,1,集中,1,火事場力,1,,,,,堅牢な骨,2,いにしえの龍骨,1,毒狗竜の上皮,2,イズチの剛毛,2,,,,,,,380,
アルブーロＳサンダル,0,5,1,1,0,,52,98,0,-2,1,-1,0,散弾・拡散矢強化,1,貫通弾・貫通矢強化,1,,,,,,,マクラサカガイ,1,真珠色の柔皮,3,堅竜骨,2,咬魚の上ヒゲ,2,,,,,,,390,
メルホアＳライース,0,5,1,1,0,,52,98,0,1,3,0,0,体力回復量ＵＰ,1,回復速度,2,,,,,,,ドスビスカス,2,雷光虫,2,モンスターの濃汁,2,ねじれた堅怪骨,1,,,,,,,400,
デスギアＳフェルゼ,0,5,1,1,0,,52,98,3,1,1,-1,0,剛刃研磨,1,高速変形,1,,,,,,,禍々しい闇布,1,縞模様の皮,2,上質な堅骨,2,鋭利な牙,2,,,,,,,410,
マギュルＳライース,0,5,2,1,0,,52,98,-3,1,0,3,0,反動軽減,2,,,,,,,,,ワヲンパンプキン,1,怪力の種,2,バギィの上鱗,2,グラシスメタル,2,,,,,,,420,
ヴァイクＳグリーヴ,0,5,3,1,0,,52,98,0,3,-2,-1,0,装填拡張,1,,,,,,,,,ヨロイシダイ,2,小金魚,1,上質なヒレ,2,グラシスメタル,2,,,,,,,430,
マカルパＳパンツ,0,5,1,1,0,,52,98,1,2,-2,0,0,泡沫の舞,1,早食い,1,,,,,,,春夜鯉,2,サシミウオ,2,肉厚な上皮,1,カブレライト鉱石,2,,,,,,,440,
ウツシ表【脚絆】覇,1,5,1,0,0,,52,98,3,0,0,0,0,広域化,1,満足感,1,幸運,1,,,,,カムラチケット,2,泡立つ上滑液,2,堅竜骨,1,ノヴァクリスタル,1,,,,,,,450,
ウツシ裏【脚絆】覇,1,5,1,1,0,,52,98,3,0,0,0,0,回避性能,1,挑戦者,1,,,,,,,カムラチケット,2,泡狐竜の尖爪,2,堅竜骨,1,ノヴァクリスタル,1,,,,,,,460,
依巫・祈【緋袴】,2,5,1,0,0,,52,98,3,0,0,0,0,広域化,1,満足感,1,幸運,1,,,,,カムラチケット,2,泡立つ上滑液,2,堅竜骨,1,ノヴァクリスタル,1,,,,,,,470,
神凪・願【緋袴】,2,5,1,1,0,,52,98,3,0,0,0,0,回避性能,1,挑戦者,1,,,,,,,カムラチケット,2,泡狐竜の尖爪,2,堅竜骨,1,ノヴァクリスタル,1,,,,,,,480,
ガブラスーツＳフット,0,5,1,1,0,,52,98,1,1,1,1,3,弱点特効,1,,,,,,,,,縞模様の皮,2,毒妖鳥の上鱗,2,獄炎石,1,堅竜骨,1,,,,,,,500,
イソネＳグリーヴ,0,5,1,1,0,,58,104,-1,2,-3,0,1,精霊の加護,2,,,,,,,,,人魚竜の堅殻,4,人魚竜の微睡み粉,2,人魚竜の上鱗,1,眠狗竜の上皮,2,,,,,,,510,
ベリオＳグリーヴ,0,5,3,1,0,,58,104,-3,0,-1,3,0,納刀術,1,,,,,,,,,氷牙竜の上毛皮,3,氷牙竜の鋭爪,2,氷牙竜の棘,2,眠狗竜の尖爪,2,,,,,,,520,
カガチＳグリーヴ,0,5,2,1,0,,58,118,0,-3,3,0,0,体術,1,見切り,2,,,,,,,飛雷竜の上鱗,3,飛雷竜の上毛皮,2,飛雷竜の雷極針,1,上質な毛皮,2,,,,,,,530,
ジャナフＳグリーヴ,0,6,2,0,0,,60,118,3,-3,-1,-1,0,ランナー,2,,,,,,,,,蛮顎竜の鋭牙,3,蛮顎竜の上鱗,4,蛮顎竜の尻尾,1,蛮顎竜の逆鱗,1,,,,,,,540,
ナルガＳグリーヴ,0,6,1,0,0,,60,118,-2,1,-3,1,1,回避性能,2,見切り,1,,,,,,,迅竜の上鱗,3,迅竜の上黒毛,2,迅竜の鋭牙,2,翼蛇竜の上皮,2,,,,,,,550,
ミツネＳグリーヴ,0,6,3,1,1,,60,120,0,2,-3,1,-1,泡沫の舞,1,,,,,,,,,泡狐竜の上鱗,4,泡狐竜の尖爪,2,泡立つ上滑液,2,泡狐竜の水玉,1,,,,,,,560,
レウスＳグリーヴ,0,6,1,1,0,,62,120,3,1,-2,1,-3,攻撃,1,破壊王,1,,,,,,,火竜の堅殻,4,火竜の翼,2,火竜の尻尾,1,溶岩獣の上鱗,2,,,,,,,570,
ジンオウＳグリーヴ,0,6,1,0,0,,62,108,0,-1,4,-4,1,力の解放,1,体術,2,,,,,,,雷狼竜の堅殻,2,雷狼竜の高電殻,3,雷狼竜の尖爪,2,電撃袋,2,,,,,,,580,
ロワーガＳガンバ,1,6,1,1,0,,62,106,-2,0,3,-2,2,見切り,2,龍属性攻撃強化,1,,,,,,,オオクワアゲハ,1,上質な堅骨,3,火竜の上鱗,2,上質な腹袋,1,,,,,,,590,
ファルメルＳガンバ,2,6,1,1,0,,62,106,-2,0,3,-2,2,見切り,2,龍属性攻撃強化,1,,,,,,,オオクワアゲハ,1,上質な堅骨,3,火竜の上鱗,2,上質な腹袋,1,,,,,,,600,
メデュレトＳブーツ,0,6,3,1,0,,62,106,1,3,0,2,0,爆破属性強化,1,,,,,,,,,ゴスゴシックラゲ,1,河童蛙の苔堅甲,2,堅竜骨,1,カブレライト鉱石,4,,,,,,,610,
禍鎧・覇【具足】,0,6,1,1,0,,64,122,3,-3,-2,1,1,鬼火纏,1,逆恨み,1,ひるみ軽減,1,,,,,怨虎竜の堅殻,4,怨虎竜の魂結晶,2,怨虎竜の剛兜角,1,迅竜の鋭刃翼,1,,,,,,,650,
ゴシャＳグリーヴ,0,6,1,0,0,,64,122,-4,1,-1,4,0,抜刀術【力】,1,挑戦者,3,,,,,,,雪鬼獣の剛毛,3,しゃっこい堅氷塊,2,雪鬼獣の堅腕甲,2,グラシスメタル,4,,,,,,,660,
オロミドＳグリーヴ,0,6,3,1,0,,64,122,-4,3,3,-2,-2,業物,1,,,,,,,,,泥翁竜の上鱗,3,泥翁竜の尖爪,2,泥翁竜の剛毛ヒレ,3,泡狐竜の上錦ヒレ,1,,,,,,,670,
レックスＳグリーヴ,0,6,1,0,0,,64,122,2,0,-3,0,-2,早食い,2,心眼,1,,,,,,,轟竜の上鱗,4,轟竜の鋭牙,3,轟竜の尻尾,1,ジャグラスの上鱗,2,,,,,,,680,
ディアブロＳグリーヴ,0,6,2,0,0,,64,122,3,-1,-1,-3,-1,ガード性能,1,攻めの守勢,1,,,,,,,角竜の堅甲,4,角竜の堅殻,1,角竜の尾甲,2,尖竜骨,2,,,,,,,690,
ヤツカダグリーヴ,0,6,1,0,0,,66,124,4,-2,-1,-3,1,体術,2,スタミナ急速回復,2,,,,,,,妃蜘蛛の堅殻,5,妃蜘蛛の鋭爪,1,妃蜘蛛の灯腹,1,臣蜘蛛の絹糸,2,,,,,,,700,
金色ノ袴,0,7,1,1,0,,70,128,2,1,3,-5,2,超会心,2,力の解放,1,,,,,,,金獅子の黒毛,3,黄金の毛,1,金獅子の尖爪,2,獣玉,2,,,,,,,710,
ダマスクグリーヴ,0,7,1,0,0,,68,126,-1,2,-3,1,-1,匠,2,,,,,,,,,古龍の血,2,泥翁竜の堅殻,2,しゃっこい堅氷塊,1,グラシスメタル,4,,,,,,,720,
クシャナペイル,0,7,1,0,0,,74,132,-1,2,-2,3,-3,鋼殻の恩恵,1,匠,1,貫通弾・貫通矢強化,1,,,,,鋼の上龍鱗,4,鋼龍の尖爪,4,鋼龍の尖角,1,雪鬼獣の堅腕甲,2,,,,,,,750,
ミヅハ【具足】,0,7,2,0,0,,74,132,-5,1,0,3,-3,霞皮の恩恵,1,回避性能,1,,,,,,,霞龍の上皮,4,霞龍の尖角,2,霞龍の翼,2,ユニオン鉱石,4,,,,,,,760,
カイザーグリーヴ,0,7,1,0,0,,74,132,4,-4,1,-1,-3,炎鱗の恩恵,1,達人芸,1,,,,,,,炎王龍の堅殻,5,炎龍の塵粉,2,炎龍の尖爪,1,火竜の上鱗,2,,,,,,,770,
バゼルグリーヴ,0,7,3,0,0,,72,130,3,1,-4,-2,-2,砲術,2,ガード性能,1,,,,,,,爆鱗竜の堅殻,4,爆鱗竜の爆腺,2,爆鱗竜の尻尾,1,爆鱗竜の宝玉,1,,,,,,,780,
しまきのおみあし,0,7,0,0,0,,66,124,-1,0,0,0,-2,風紋の一致,1,ＫＯ術,1,ガード強化,1,風雷合一,1,,,風神龍の堅殻,4,風神龍の上皮,1,風神龍の碧棘,2,雌火竜の翼膜,2,,,,,,,790,
なるかみのおみあし,0,7,0,0,0,,76,134,2,1,4,-3,-4,雷紋の一致,1,回避性能,1,ランナー,1,風雷合一,1,,,雷神龍の堅殻,3,雷神龍の尖爪,2,雷神龍の触手,2,古龍骨,2,,,,,,,800,
赫耀ノグリーヴ,0,7,3,1,0,,80,138,-2,-2,-2,-2,3,龍気活性,1,逆恨み,1,,,,,,,奇絶の赫灼殻,5,天彗龍の尖爪,3,天彗龍の尻尾,2,赫星招く龍氣玉,1,,,,,,,820,
ブラックレザーレグス,0,6,3,0,0,,60,118,2,2,2,2,2,翔蟲使い,2,,,,,,,,,,,,,,,,,,,,,,,830,
蒼世ノ侍【履物】,0,7,2,1,0,,72,130,2,2,0,0,2,納刀術,2,集中,1,,,,,,,,,,,,,,,,,,,,,840,
カムラノ装【脚絆】継,0,8,2,0,0,,80,152,2,0,0,0,0,壁面移動,2,死中に活,1,滑走強化,1,,,,,,,,,,,,,,,,,,,5000,1
レザーＸパンツ,0,8,4,1,0,,80,152,0,0,0,0,0,地質学,1,植生学,2,,,,,,,,,,,,,,,,,,,,,5010,1
チェーンＸパンツ,0,8,1,1,1,,82,154,0,0,1,0,0,スタミナ急速回復,1,ガード性能,2,,,,,,,,,,,,,,,,,,,,,5020,1
ハンターＸグリーヴ,0,8,2,0,0,,82,154,0,0,0,0,0,気絶耐性,1,攻撃,2,納刀術,1,,,,,,,,,,,,,,,,,,,5030,1
アロイＸグリーヴ,0,8,4,0,0,,82,154,-1,0,-1,-1,0,見切り,2,,,,,,,,,,,,,,,,,,,,,,,5040,1
ボーンＸグリーヴ,0,8,2,0,0,,82,154,0,0,0,-1,0,泥雪耐性,2,集中,1,抜刀術【力】,1,,,,,,,,,,,,,,,,,,,5050,1
リノプロＸグリーヴ,0,8,4,0,0,,90,162,2,0,0,-2,0,貫通弾・貫通矢強化,1,耐震,1,,,,,,,,,,,,,,,,,,,,,5060,1
ドロスＸグリーヴ,0,8,4,1,0,,90,162,-2,4,-1,0,0,水属性攻撃強化,3,,,,,,,,,,,,,,,,,,,,,,,5070,1
ブナハＸブーツ,0,8,4,1,0,,84,156,-2,0,0,0,2,反動軽減,1,ブレ抑制,2,,,,,,,,,,,,,,,,,,,,,5080,1
タロスグリーヴ,0,8,2,2,0,,86,158,-1,-1,-1,-1,4,死中に活,1,ブレ抑制,1,体力回復量ＵＰ,1,,,,,,,,,,,,,,,,,,,5090,1
ランゴグリーヴ,0,8,4,0,0,,84,156,-2,1,1,1,2,納刀術,1,翔蟲使い,1,,,,,,,,,,,,,,,,,,,,,5100,1
狗竜の革臑当Ｘ,0,8,2,1,0,,90,162,0,0,0,1,0,乗り名人,1,壁面移動,2,,,,,,,,,,,,,,,,,,,,,5110,1
ランポスグリーヴ,0,8,3,2,0,,86,158,0,0,0,-2,0,風圧耐性,2,気絶耐性,2,,,,,,,,,,,,,,,,,,,,,5130,1
イズチＸグリーヴ,0,8,1,1,0,,86,158,2,-1,-2,0,0,回復速度,1,体術,2,回避性能,1,,,,,,,,,,,,,,,,,,,5140,1
バギィＸグリーヴ,0,8,2,1,0,,86,158,-4,-1,-1,2,1,攻撃,2,氷耐性,2,,,,,,,,,,,,,,,,,,,,,5150,1
クルルＸグリーヴ,0,8,3,0,0,,86,158,0,-3,0,1,0,気絶耐性,2,見切り,2,,,,,,,,,,,,,,,,,,,,,5160,1
フロギィＸグリーヴ,0,8,4,0,0,,88,160,2,-2,1,-4,0,回避距離ＵＰ,2,,,,,,,,,,,,,,,,,,,,,,,5170,1
アシラＸグリーヴ,0,8,3,2,1,,86,158,-2,0,-2,0,0,早食い,1,,,,,,,,,,,,,,,,,,,,,,,5180,1
ウルクＸグリーヴ,0,8,3,0,0,,86,158,-3,1,0,3,0,ジャンプ鉄人,1,見切り,1,達人芸,1,装填速度,1,,,,,,,,,,,,,,,,,5190,1
ラングロＸグリーヴ,0,8,1,0,0,,94,166,2,-3,0,-1,1,高速変形,2,回避距離ＵＰ,2,,,,,,,,,,,,,,,,,,,,,5200,1
アケノＸグリーヴ,0,8,1,1,0,,88,160,3,-3,-1,0,0,フルチャージ,1,火属性攻撃強化,2,抜刀術【技】,1,,,,,,,,,,,,,,,,,,,5210,1
ルドロスＸグリーヴ,0,8,3,0,0,,92,164,-3,4,-1,0,0,強化持続,2,集中,1,,,,,,,,,,,,,,,,,,,,,5220,1
ボロスＸグリーヴ,0,8,2,1,0,,94,166,-3,-1,3,-1,0,ガード性能,2,防御,1,攻めの守勢,1,,,,,,,,,,,,,,,,,,,5230,1
ザザミグリーヴ,0,8,4,0,0,,94,166,-5,1,-3,-1,2,チューンアップ,1,匠,1,耐震,1,,,,,,,,,,,,,,,,,,,5240,1
ヨツミＸグリーヴ,0,8,4,0,0,,90,162,-1,4,-2,1,0,腹減り耐性,2,火事場力,1,早食い,1,,,,,,,,,,,,,,,,,,,5250,1
インゴットＸグリーヴ,0,8,1,1,0,,94,158,-1,-1,1,0,0,攻撃,2,見切り,2,,,,,,,,,,,,,,,,,,,,,5260,2
スカルダＸガンバ,1,8,2,0,0,,98,162,3,-1,-1,-1,3,力の解放,1,毒耐性,1,心眼,2,,,,,,,,,,,,,,,,,,,5270,2
スパイオＸガンバ,2,8,2,0,0,,98,162,3,-1,-1,-1,3,力の解放,1,毒耐性,1,心眼,2,,,,,,,,,,,,,,,,,,,5280,2
エーデルＸライース,0,8,4,1,0,,96,160,-1,3,-1,0,0,毒耐性,1,早食い,2,,,,,,,,,,,,,,,,,,,,,5300,2
アルブーロＸサンダル,0,8,1,1,0,,96,160,0,2,1,-1,0,散弾・拡散矢強化,1,貫通弾・貫通矢強化,2,,,,,,,,,,,,,,,,,,,,,5310,2
メルホアＸライース,0,8,4,1,0,,92,162,0,1,3,0,0,体力回復量ＵＰ,1,回復速度,2,スタミナ急速回復,1,,,,,,,,,,,,,,,,,,,5320,2
ゴギョウノグソク,0,8,3,0,0,,100,164,0,0,0,0,3,精霊の加護,2,鬼火纏,1,,,,,,,,,,,,,,,,,,,,,5330,2
軽装騎士【脚甲】,0,8,3,1,0,,100,160,1,1,1,1,1,業物,2,超会心,1,,,,,,,,,,,,,,,,,,,,,5340,3
ユクモノハカマ,0,8,2,0,0,,92,156,0,0,2,0,0,見切り,1,回避性能,1,体力回復量ＵＰ,2,,,,,,,,,,,,,,,,,,,5350,2
フルフルＸグリーヴ,0,8,2,1,0,,96,160,-4,1,4,2,1,集中,1,ＫＯ術,2,回復速度,2,,,,,,,,,,,,,,,,,,,5370,2
テンゴＸグリーヴ,0,8,2,1,1,,96,160,-2,2,2,-4,2,渾身,1,達人芸,1,早食い,1,弾丸節約,1,,,,,,,,,,,,,,,,,5380,2
テンゴＺグリーヴ,0,8,4,1,0,,96,160,2,-4,-2,0,2,納刀術,1,剛刃研磨,2,散弾・拡散矢強化,1,,,,,,,,,,,,,,,,,,,5390,2
プケプケＸグリーヴ,0,8,2,1,1,,96,160,0,3,-3,0,1,体術,2,弾導強化,1,,,,,,,,,,,,,,,,,,,,,5400,2
ジュラＸグリーヴ,0,8,4,1,1,,96,160,-1,2,-3,0,0,ガード強化,2,逆恨み,1,,,,,,,,,,,,,,,,,,,,,5410,2
バサルＸグリーヴ,0,8,3,0,0,,100,164,0,-2,1,1,-3,砲弾装填,1,防御,2,力の解放,2,装填速度,1,,,,,,,,,,,,,,,,,5420,2
イソネＸグリーヴ,0,8,4,1,0,,96,160,-1,2,-3,0,1,精霊の加護,2,睡眠耐性,1,,,,,,,,,,,,,,,,,,,,,5430,2
イソネＺグリーヴ,0,8,4,1,0,,108,168,-3,1,-1,3,2,会心撃【属性】,1,挑戦者,1,氷属性攻撃強化,2,,,,,,,,,,,,,,,,,,,5440,3
レイアＸグリーヴ,0,8,4,0,0,,96,160,3,0,-2,0,-3,属性やられ耐性,1,満足感,1,挑戦者,1,,,,,,,,,,,,,,,,,,,5450,2
カガチＸグリーヴ,0,8,2,1,0,,96,160,0,-3,3,0,0,体術,1,見切り,2,会心撃【属性】,1,,,,,,,,,,,,,,,,,,,5460,2
ジャナフＸグリーヴ,0,8,3,0,0,,98,162,3,-3,-1,-1,0,ランナー,2,挑戦者,2,,,,,,,,,,,,,,,,,,,,,5470,2
ドーベルＸグリーヴ,0,8,2,0,0,,104,164,-2,0,0,0,4,龍属性攻撃強化,1,集中,2,火事場力,2,,,,,,,,,,,,,,,,,,,5490,3
ヴァイクＸグリーヴ,0,8,4,1,0,,100,160,0,3,-2,-1,0,装填拡張,1,腹減り耐性,1,,,,,,,,,,,,,,,,,,,,,5500,3
マギュルＸライース,0,8,2,2,0,,100,160,-3,1,0,3,0,チューンアップ,1,ブレ抑制,2,,,,,,,,,,,,,,,,,,,,,5510,3
デスギアＸフェルゼ,0,8,2,1,0,,110,170,3,1,1,-1,0,剛刃研磨,1,高速変形,1,攻撃,1,,,,,,,,,,,,,,,,,,,5520,3
マカルパＸパンツ,0,8,1,1,0,,104,164,1,2,-2,0,0,泡沫の舞,2,早食い,1,死中に活,1,,,,,,,,,,,,,,,,,,,5530,3
ロワーガＸガンバ,1,8,2,1,0,,110,170,-2,0,3,-2,2,見切り,2,龍属性攻撃強化,1,回避性能,1,,,,,,,,,,,,,,,,,,,5540,3
ファルメルＸガンバ,2,8,2,1,0,,110,170,-2,0,3,-2,2,見切り,2,龍属性攻撃強化,1,回避性能,1,,,,,,,,,,,,,,,,,,,5550,3
砲術隊【脛当て】,0,8,0,0,0,,106,166,1,1,1,1,1,弾丸節約,3,特殊射撃強化,1,砲術,1,,,,,,,,,,,,,,,,,,,5560,3
ギルドバードブーツ,1,8,4,0,0,,104,164,0,0,0,0,0,精霊の加護,2,キノコ大好き,1,,,,,,,,,,,,,,,,,,,,,5570,3
スカラーソックス,2,8,4,0,0,,104,164,0,0,0,0,0,精霊の加護,2,キノコ大好き,1,,,,,,,,,,,,,,,,,,,,,5580,3
ガーディアンブーツ,0,8,2,1,0,,108,168,2,0,0,2,3,ガード性能,2,耳栓,1,,,,,,,,,,,,,,,,,,,,,5590,3
ブリゲイドＸブーツ,0,8,2,2,1,,106,166,1,0,2,0,2,剥ぎ取り鉄人,1,植生学,2,ランナー,2,,,,,,,,,,,,,,,,,,,5600,3
ベリオＸグリーヴ,0,8,4,1,0,,108,168,-5,0,-1,3,0,納刀術,1,破壊王,1,氷属性攻撃強化,2,,,,,,,,,,,,,,,,,,,5610,3
禍鎧・真【具足】,0,8,2,1,0,,110,170,3,-3,-2,1,1,鬼火纏,1,逆恨み,2,ひるみ軽減,1,,,,,,,,,,,,,,,,,,,5620,3
ナルガＸグリーヴ,0,8,1,0,0,,108,168,-2,1,-3,1,1,回避性能,2,見切り,2,体術,1,,,,,,,,,,,,,,,,,,,5630,3
ゴシャＸグリーヴ,0,8,3,0,0,,106,166,-4,1,-1,4,0,抜刀術【力】,1,挑戦者,3,弾導強化,1,,,,,,,,,,,,,,,,,,,5640,3
ゴルムグリーヴ,0,8,2,2,1,,112,172,-1,3,-2,0,2,チャージマスター,1,ＫＯ術,2,スタミナ奪取,2,,,,,,,,,,,,,,,,,,,5650,3
