#名前,"性別(0=両,1=男,2=女)",レア度,スロット1,スロット2,スロット3,入手時期,初期防御力,最終防御力,火耐性,水耐性,雷耐性,氷耐性,龍耐性,スキル系統1,スキル値1,スキル系統2,スキル値2,スキル系統3,スキル値3,スキル系統4,スキル値4,スキル系統5,スキル値5,生産素材1,個数,生産素材2,個数,生産素材3,個数,生産素材4,個数,カスタム強化防御力,カスタム強化素材1,個数1,カスタム強化素材2,個数2,ワンセット防具,仮番号,錬成テーブル
ゴギョウノコテ,0,8,4,0,0,,100,164,0,0,0,0,3,精霊の加護,1,弾導強化,2,,,,,,,,,,,,,,,,,,,,,5330,2
軽装騎士【手甲】,0,8,2,1,0,,100,160,1,1,1,1,1,ガード強化,3,ひるみ軽減,2,,,,,,,,,,,,,,,,,,,,,5340,3
ユクモノコテ,0,8,1,1,1,,92,156,0,0,2,0,0,見切り,2,回避性能,2,,,,,,,,,,,,,,,,,,,,,5350,2
フルフルＸアーム,0,8,4,1,0,,96,160,-4,1,4,2,1,壁面移動,1,回復速度,1,雷属性攻撃強化,3,,,,,,,,,,,,,,,,,,,5370,2
テンゴＸアーム,0,8,4,0,0,,96,160,-2,2,2,-4,2,アイテム使用強化,1,気絶耐性,1,早食い,1,,,,,,,,,,,,,,,,,,,5380,2
テンゴＺアーム,0,8,2,1,0,,96,160,2,-4,-2,0,2,力の解放,3,納刀術,1,,,,,,,,,,,,,,,,,,,,,5390,2
プケプケＸアーム,0,8,3,0,0,,96,160,0,3,-3,0,1,弾丸節約,1,弾導強化,2,,,,,,,,,,,,,,,,,,,,,5400,2
ジュラＸアーム,0,8,3,2,1,,96,160,-1,2,-3,0,0,逆恨み,2,,,,,,,,,,,,,,,,,,,,,,,5410,2
バサルＸアーム,0,8,2,1,0,,100,164,0,-2,1,1,-3,ガード性能,3,砥石使用高速化,1,,,,,,,,,,,,,,,,,,,,,5420,2
イソネＸアーム,0,8,2,0,0,,96,160,-1,2,-3,0,1,ボマー,2,精霊の加護,1,弾丸節約,2,匠,1,,,,,,,,,,,,,,,,,5430,2
イソネＺアーム,0,8,4,1,0,,108,168,-3,1,-1,3,2,会心撃【属性】,1,達人芸,1,氷属性攻撃強化,1,,,,,,,,,,,,,,,,,,,5440,3
レイアＸアーム,0,8,2,1,0,,96,160,3,0,-2,0,-3,属性やられ耐性,1,広域化,2,満足感,1,,,,,,,,,,,,,,,,,,,5450,2
カガチＸアーム,0,8,3,0,0,,96,160,0,-3,3,0,0,体術,3,不屈,1,,,,,,,,,,,,,,,,,,,,,5460,2
ジャナフＸアーム,0,8,1,0,0,,98,162,3,-3,-1,-1,0,ＫＯ術,2,攻撃,2,挑戦者,1,,,,,,,,,,,,,,,,,,,5470,2
ドーベルＸアーム,0,8,3,1,1,,104,164,-2,0,0,0,4,龍属性攻撃強化,1,強化持続,2,反動軽減,2,,,,,,,,,,,,,,,,,,,5490,3
ヴァイクＸアーム,0,8,2,1,0,,100,160,0,3,-2,-1,0,通常弾・連射矢強化,2,腹減り耐性,1,業物,2,,,,,,,,,,,,,,,,,,,5500,3
マギュルＸラーマ,0,8,4,1,1,,100,160,-3,1,0,3,0,爆破やられ耐性,1,ひるみ軽減,2,会心撃【属性】,1,,,,,,,,,,,,,,,,,,,5510,3
デスギアＸファオスト,0,8,2,0,0,,110,170,3,1,1,-1,0,渾身,2,攻撃,1,,,,,,,,,,,,,,,,,,,,,5520,3
マカルパＸスリーブ,0,8,2,2,0,,104,164,1,2,-2,0,0,泡沫の舞,1,飛び込み,1,死中に活,1,,,,,,,,,,,,,,,,,,,5530,3
ロワーガＸマーノ,1,8,3,0,0,,110,170,-2,0,3,-2,2,回避性能,2,見切り,1,,,,,,,,,,,,,,,,,,,,,5540,3
ファルメルＸマーノ,2,8,3,0,0,,110,170,-2,0,3,-2,2,回避性能,2,見切り,1,,,,,,,,,,,,,,,,,,,,,5550,3
砲術隊【篭手】,0,8,1,0,0,,106,166,1,1,1,1,1,装填拡張,1,装填速度,1,砲術,2,,,,,,,,,,,,,,,,,,,5560,3
ギルドバードアーム,1,8,2,1,0,,104,164,0,0,0,0,0,回避性能,1,キノコ大好き,1,幸運,1,,,,,,,,,,,,,,,,,,,5570,3
スカラーグラブ,2,8,2,1,0,,104,164,0,0,0,0,0,回避性能,1,キノコ大好き,1,幸運,1,,,,,,,,,,,,,,,,,,,5580,3
ガーディアンアーム,0,8,2,2,1,,108,168,2,0,0,2,3,ガード性能,1,砥石使用高速化,1,耳栓,1,,,,,,,,,,,,,,,,,,,5590,3
ブリゲイドＸアーム,0,8,3,3,0,,106,166,1,0,2,0,2,地質学,2,供応,1,精霊の加護,1,,,,,,,,,,,,,,,,,,,5600,3
ベリオＸアーム,0,8,2,1,0,,108,168,-5,0,-1,3,0,納刀術,1,渾身,1,見切り,2,,,,,,,,,,,,,,,,,,,5610,3
禍鎧・真【篭手】,0,8,2,0,0,,110,170,3,-3,-2,1,1,鬼火纏,1,匠,2,装填拡張,2,,,,,,,,,,,,,,,,,,,5620,3
ナルガＸアーム,0,8,2,1,0,,108,168,-2,1,-3,1,1,回避性能,1,回避距離ＵＰ,1,体術,2,,,,,,,,,,,,,,,,,,,5630,3
ゴシャＸアーム,0,8,4,0,0,,106,166,-4,1,-1,4,0,抜刀術【技】,1,抜刀術【力】,1,納刀術,1,,,,,,,,,,,,,,,,,,,5640,3
ゴルムアーム,0,8,2,2,1,,112,172,-1,3,-2,0,2,チャージマスター,1,集中,2,,,,,,,,,,,,,,,,,,,,,5650,3
ギザミアーム,0,8,2,0,0,,108,168,-3,1,-4,-1,2,研磨術【鋭】,1,フルチャージ,1,見切り,2,貫通弾・貫通矢強化,1,,,,,,,,,,,,,,,,,5660,3
オロミドＸアーム,0,8,4,1,0,,108,168,-4,3,3,-2,-2,高速変形,1,回避性能,2,,,,,,,,,,,,,,,,,,,,,5670,3
ヤツカダＸアーム,0,8,4,0,0,,108,168,4,-2,-1,-3,0,体術,2,スタミナ急速回復,1,,,,,,,,,,,,,,,,,,,,,5680,3
オロミドＺアーム,0,9,3,0,0,,112,172,5,-5,0,-4,0,逆恨み,1,ガード強化,2,火事場力,1,,,,,,,,,,,,,,,,,,,5690,4
ヤツカダＺアーム,0,9,4,0,0,,112,172,2,-4,2,-2,2,渾身,1,高速変形,2,爆破やられ耐性,1,チューンアップ,1,,,,,,,,,,,,,,,,,5700,4
ウツシ表【手甲】真,1,9,4,0,0,,110,170,3,0,0,0,0,広域化,2,体力回復量ＵＰ,1,,,,,,,,,,,,,,,,,,,,,5710,4
神凪・洸【花袖】,2,9,2,0,0,,110,170,3,0,0,0,0,回避性能,1,翔蟲使い,1,攻撃,2,,,,,,,,,,,,,,,,,,,5720,4
ウツシ裏【手甲】真,1,9,2,0,0,,110,170,3,0,0,0,0,回避性能,1,翔蟲使い,1,攻撃,2,,,,,,,,,,,,,,,,,,,5730,4
