#名前,"性別(0=両,1=男,2=女)",レア度,スロット1,スロット2,スロット3,入手時期,初期防御力,最終防御力,火耐性,水耐性,雷耐性,氷耐性,龍耐性,スキル系統1,スキル値1,スキル系統2,スキル値2,スキル系統3,スキル値3,スキル系統4,スキル値4,スキル系統5,スキル値5,生産素材1,個数,生産素材2,個数,生産素材3,個数,生産素材4,個数,カスタム強化防御力,カスタム強化素材1,個数1,カスタム強化素材2,個数2,ワンセット防具,仮番号,錬成テーブル
フロギィＳメイル,0,4,1,0,0,,38,96,2,-2,1,-4,0,速射強化,1,毒属性強化,1,,,,,,,毒狗竜の上皮,3,猛毒袋,1,フロギィの上鱗,2,鳥竜玉,1,,,,,,,130,
アシラＳメイル,0,4,2,0,0,,36,94,-2,0,-2,0,0,逆襲,1,,,,,,,,,青熊獣の堅殻,4,青熊獣の剛毛,1,堅牢な骨,2,ねじれた堅怪骨,1,,,,,,,140,
ウルクＳメイル,0,4,1,1,0,,36,94,-3,1,0,3,0,滑走強化,1,体術,1,,,,,,,白兎獣の堅腹甲,3,白兎獣の凍爪,2,バギィの上鱗,1,,,,,,,,,150,
アケノＳメイル,0,4,1,0,0,,38,96,3,-3,-1,0,0,納刀術,1,フルチャージ,1,,,,,,,傘鳥の上鱗,4,傘鳥の上羽鱗,1,尖竜骨,1,カブレライト鉱石,1,,,,,,,160,
フルフルＳメイル,0,4,1,1,0,,38,96,-4,1,4,2,1,壁面移動,1,体力回復量ＵＰ,1,,,,,,,真珠色の柔皮,4,電撃袋,1,カブレライト鉱石,1,アルビノの中落ち,1,,,,,,,170,
ヨツミＳメイル,0,4,1,0,0,,40,98,-1,4,-2,1,0,通常弾・連射矢強化,1,回避距離ＵＰ,1,,,,,,,河童蛙の苔堅甲,4,河童蛙の上皮,1,堅牢な骨,1,グラシスメタル,2,,,,,,,180,
インゴットＳメイル,0,4,2,1,0,,40,96,-1,-1,1,0,0,風圧耐性,2,,,,,,,,,ユニオン鉱石,1,ドラグライト鉱石,3,ノヴァクリスタル,1,ケストドンの堅殻,2,,,,,,,190,
混沌のカイ・覇,0,4,0,0,0,,40,96,2,-2,0,0,0,キノコ大好き,2,,,,,,,,,闇盛り茸,3,マンドラゴラ,2,鎌鼬竜の上皮,2,,,,,,,,,200,
エーデルＳトロンコ,0,4,1,1,0,,40,96,-1,3,-1,0,0,体力回復量ＵＰ,2,,,,,,,,,星見の麗花,2,大水袋,1,流水草,2,垂皮竜の上皮,2,,,,,,,210,
ズワロＳマント,0,4,2,1,0,,42,98,-2,2,0,-1,1,満足感,2,,,,,,,,,垂皮竜の上皮,3,ファンゴの上毛皮,2,上質な毛皮,2,,,,,,,,,220,
リノプロＳメイル,0,4,2,1,0,,42,98,2,0,0,-2,0,砲術,1,気絶耐性,2,,,,,,,草食竜の堅殻,2,竜骨【中】,2,鋭利な爪,1,尖竜骨,1,,,,,,,230,
ドロスＳメイル,0,4,2,1,0,,42,98,-2,4,-1,0,0,水属性攻撃強化,2,,,,,,,,,水生獣の上皮,3,未熟な海綿質,2,鋭利な爪,2,上質な毛皮,1,,,,,,,240,
ラングロＳメイル,0,4,2,0,0,,50,106,2,-3,0,-1,1,高速変形,1,ジャンプ鉄人,1,,,,,,,赤甲獣の堅殻,3,赤甲獣の尖爪,2,カブレライト鉱石,2,上質な毛皮,2,,,,,,,280,
ルドロスＳメイル,0,4,2,0,0,,48,104,-3,4,-1,0,0,スタミナ急速回復,2,,,,,,,,,海綿質の上皮,4,水獣の上鱗,1,水獣の鋭爪,2,鋭利な爪,1,,,,,,,290,
ボロスＳメイル,0,4,2,0,0,,50,106,-3,-1,3,-1,0,攻撃,1,防御,2,,,,,,,土砂竜の堅殻,4,土砂竜の頭殻,1,豊沃なドロ,2,上質なヒレ,2,,,,,,,300,
テンゴＳメイル,0,5,3,0,0,,52,108,-2,2,2,-4,2,広域化,1,,,,,,,,,天狗獣の剛毛,3,天狗獣の尖爪,1,天狗獣の堅頭襟,1,ファンゴの上毛皮,2,,,,,,,310,
プケプケＳメイル,0,5,1,0,0,,50,106,0,3,-3,0,1,特殊射撃強化,1,体術,2,,,,,,,毒妖鳥の上鱗,5,毒妖鳥の尻尾,2,毒妖鳥の翼,1,尖竜骨,1,,,,,,,320,
ジュラメイル,0,5,1,1,1,,48,104,-1,2,-3,0,0,強化持続,2,回避距離ＵＰ,1,,,,,,,泥魚竜の堅殻,4,泥魚竜の上鱗,1,泥魚竜の上ヒレ,2,咬魚の上皮,2,,,,,,,330,
バサルＳメイル,0,5,1,1,0,,52,108,0,-2,1,1,-3,ガード性能,1,砲弾装填,1,,,,,,,岩竜の堅殻,4,岩竜の堅胸殻,1,爆炎袋,1,カブレライト鉱石,2,,,,,,,340,
レイアＳメイル,0,5,3,1,1,,52,108,3,0,-2,0,-3,体力回復量ＵＰ,1,植生学,1,,,,,,,雌火竜の上鱗,4,雌火竜の堅殻,1,雌火竜の上棘,2,雌火竜の紅玉,1,,,,,,,350,
ドーベルメイル,0,5,1,0,0,,52,98,-2,0,0,0,4,龍属性攻撃強化,1,集中,1,強化持続,1,火事場力,1,,,尖竜骨,3,埋もれた竜骨骸,2,眠狗竜の上皮,2,ファンゴの上毛皮,1,,,,,,,380,
アルブーロＳベスト,0,5,1,1,0,,52,98,0,-2,1,-1,0,通常弾・連射矢強化,1,貫通弾・貫通矢強化,1,,,,,,,マクラサカガイ,1,人魚竜の上鱗,3,真珠色の柔皮,2,ノヴァクリスタル,1,,,,,,,390,
メルホアＳトロンコ,0,5,1,1,0,,52,98,0,1,3,0,0,植生学,2,体力回復量ＵＰ,1,,,,,,,ドスビスカス,1,火薬草,3,上質な腹袋,2,ねじれた堅怪骨,2,,,,,,,400,
デスギアＳムスケル,0,5,2,0,0,,52,98,3,1,1,-1,0,不屈,1,高速変形,1,,,,,,,禍々しい闇布,1,草食竜の頭殻,2,上質な堅骨,2,鋭利な爪,2,,,,,,,410,
マギュルＳトロンコ,0,5,2,0,0,,52,98,-3,1,0,3,0,装填速度,2,,,,,,,,,ワヲンパンプキン,1,忍耐の種,2,バギィの上鱗,2,グラシスメタル,2,,,,,,,420,
ヴァイクＳメイル,0,5,3,2,1,,52,98,0,3,-2,-1,0,,,,,,,,,,,ヨロイシダイ,1,カジキマグロ,1,上質なヒレ,2,ドラグライト鉱石,3,,,,,,,430,
マカルパＳペプラム,0,5,1,0,0,,52,98,1,2,-2,0,0,水属性攻撃強化,3,,,,,,,,,春夜鯉,1,キレアジ,2,上質なヒレ,2,カブレライト鉱石,2,,,,,,,440,
ウツシ表【上衣】覇,1,5,1,1,0,,52,98,3,0,0,0,0,広域化,1,幸運,1,,,,,,,カムラチケット,2,天狗獣の上腕羽,3,堅竜骨,2,獄炎石,1,,,,,,,450,
ウツシ裏【上衣】覇,1,5,1,0,0,,52,98,3,0,0,0,0,業物,1,弾丸節約,1,回避性能,1,挑戦者,1,,,カムラチケット,2,天狗獣の尖爪,2,堅竜骨,2,獄炎石,1,,,,,,,460,
依巫・祈【白衣】,2,5,1,1,0,,52,98,3,0,0,0,0,広域化,1,幸運,1,,,,,,,カムラチケット,2,天狗獣の上腕羽,3,堅竜骨,2,獄炎石,1,,,,,,,470,
神凪・願【白衣】,2,5,1,0,0,,52,98,3,0,0,0,0,業物,1,弾丸節約,1,回避性能,1,挑戦者,1,,,カムラチケット,2,天狗獣の尖爪,2,堅竜骨,2,獄炎石,1,,,,,,,480,
コトルＳメイル,0,5,2,0,0,,52,98,4,-2,0,-1,0,火属性攻撃強化,3,,,,,,,,,溶岩獣の上鱗,5,上質なヒレ,2,鋭利な爪,1,紅蓮石,4,,,,,,,490,
ガブラスーツＳボディ,0,5,1,1,0,,52,98,1,1,1,1,3,超会心,1,,,,,,,,,翼蛇竜の上皮,3,毒妖鳥の上鱗,1,猛毒袋,2,堅竜骨,1,,,,,,,500,
イソネＳメイル,0,5,1,1,0,,58,104,-1,2,-3,0,1,睡眠属性強化,1,アイテム使用強化,1,,,,,,,人魚竜の堅殻,4,人魚竜の微睡み粉,2,人魚竜の怒髪ヒレ,1,泥魚竜の上ヒレ,1,,,,,,,510,
ベリオＳメイル,0,5,2,1,1,,58,104,-3,0,-1,3,0,納刀術,1,渾身,1,,,,,,,氷牙竜の上毛皮,4,氷牙竜の鋭爪,3,凍結袋,1,竜玉,1,,,,,,,520,
カガチＳメイル,0,5,3,0,0,,58,104,0,-3,3,0,0,心眼,1,見切り,1,,,,,,,飛雷竜の上毛皮,4,飛雷竜の尖爪,2,飛雷竜の上鱗,1,電撃袋,2,,,,,,,530,
ジャナフＳメイル,0,6,1,1,0,,60,118,3,-3,-1,-1,0,集中,2,ランナー,1,,,,,,,蛮顎竜の上毛皮,4,蛮顎竜の上鱗,1,蛮顎竜の大鼻骨,2,鋭利な爪,2,,,,,,,540,
ナルガＳメイル,0,6,1,1,0,,60,118,-2,1,-3,1,1,回避性能,1,見切り,2,,,,,,,迅竜の上黒毛,4,迅竜の尾棘,1,迅竜の鋭刃翼,2,鋭利な爪,2,,,,,,,550,
ミツネＳメイル,0,6,1,0,0,,60,118,0,2,-3,1,-1,泡沫の舞,1,死中に活,1,,,,,,,泡狐竜の紫上毛,4,泡立つ上滑液,2,泡狐竜の上錦ヒレ,2,泡狐竜の逆鱗,1,,,,,,,560,
レウスＳメイル,0,6,1,0,0,,62,120,3,1,-2,1,-3,攻撃,1,破壊王,1,風圧耐性,1,,,,,火竜の堅殻,4,火竜の上鱗,1,火竜の尻尾,1,火竜の延髄,1,,,,,,,570,
ジンオウＳメイル,0,6,1,0,0,,62,120,0,-1,4,-4,1,力の解放,1,弱点特効,1,,,,,,,雷狼竜の高電毛,3,雷狼竜の堅殻,3,雷狼竜の尖爪,1,雷狼竜の逆鱗,1,,,,,,,580,
ロワーガＳペット,1,6,1,0,0,,62,106,-2,0,3,-2,2,会心撃【属性】,1,見切り,2,龍属性攻撃強化,1,,,,,オオクワアゲハ,1,上質な堅骨,2,火竜の堅殻,2,臣蜘蛛の絹糸,2,,,,,,,590,
ファルメルＳペット,2,6,1,0,0,,62,106,-2,0,3,-2,2,会心撃【属性】,1,見切り,2,龍属性攻撃強化,1,,,,,オオクワアゲハ,1,上質な堅骨,2,火竜の堅殻,2,臣蜘蛛の絹糸,2,,,,,,,600,
メデュレトＳベスト,0,6,2,1,0,,62,106,1,3,0,2,0,爆破属性強化,2,,,,,,,,,ゴスゴシックラゲ,1,人魚竜の怒髪ヒレ,1,大水袋,2,グラシスメタル,4,,,,,,,610,
ブリゲイドＳスーツ,0,6,1,0,0,,62,106,1,0,2,0,2,捕獲名人,1,地質学,1,,,,,,,狩猟王のコイン,3,ラージャンコイン,2,ベリオコイン,1,堅竜骨,3,,,,,,,620,
禍鎧・覇【胸当て】,0,6,2,0,0,,64,122,3,-3,-2,1,1,鬼火纏,1,逆恨み,1,,,,,,,怨虎竜の堅殻,3,怨虎竜の妖刀殻,2,怨虎竜の魂結晶,2,堅竜骨,2,,,,,,,650,
ゴシャＳメイル,0,6,2,1,0,,64,122,-4,1,-1,4,0,抜刀術【技】,1,逆恨み,1,,,,,,,雪鬼獣の剛毛,4,しゃっこい堅氷塊,1,凍結袋,2,雪鬼胆,1,,,,,,,660,
オロミドＳメイル,0,6,1,0,0,,64,122,-4,3,3,-2,-2,業物,2,強化持続,1,,,,,,,泥翁竜の堅殻,4,黄金色の粘泥土,3,泥翁竜の尻尾,1,泥翁竜の黄玉,1,,,,,,,670,
レックスＳメイル,0,6,1,1,0,,64,122,2,0,-3,0,-2,耳栓,2,鈍器使い,1,,,,,,,轟竜の上鱗,4,轟竜の鋭牙,3,轟竜の堅殻,1,獄炎石,2,,,,,,,680,
ディアブロＳメイル,0,6,1,0,0,,64,122,3,-1,-1,-3,-1,ガード性能,2,攻めの守勢,1,,,,,,,上質なねじれた角,2,角竜の堅殻,4,角竜の延髄,1,ケストドンの堅殻,2,,,,,,,690,
ヤツカダメイル,0,6,2,1,0,,66,124,4,-2,-1,-3,1,散弾・拡散矢強化,1,装填速度,1,,,,,,,妃蜘蛛の鋭爪,3,妃蜘蛛の絹糸,3,モンスターの濃汁,1,妃蜘蛛の鉤棘,1,,,,,,,700,
金色ノ羽織,0,7,2,0,0,,70,128,2,1,3,-5,2,火事場力,1,渾身,1,力の解放,1,,,,,金獅子の鋭牙,3,金獅子の黒毛,2,金獅子の尻尾,2,天狗獣の上腕羽,2,,,,,,,710,
ダマスクメイル,0,7,1,1,0,,68,126,-1,2,-3,1,-1,耐震,1,匠,1,,,,,,,古龍の血,2,妃蜘蛛の堅殻,2,人魚竜の怒髪ヒレ,1,ノヴァクリスタル,1,,,,,,,720,
クシャナディール,0,7,2,0,0,,74,132,-1,2,-2,3,-3,鋼殻の恩恵,1,回復速度,1,陽動,1,,,,,鋼龍の堅殻,5,鋼の上龍鱗,2,鋼龍の尻尾,2,琥珀色の鋭牙,2,,,,,,,750,
ミヅハ【胸当て】,0,7,1,0,0,,74,132,-5,1,0,3,-3,霞皮の恩恵,1,毒属性強化,1,心眼,1,弾導強化,1,,,霞龍の尖爪,4,霞龍の翼,3,古龍の血,2,霞龍の宝玉,1,,,,,,,760,
カイザーメイル,0,7,1,0,0,,74,132,4,-4,1,-1,-3,炎鱗の恩恵,1,見切り,1,達人芸,1,,,,,炎王龍の堅殻,5,炎王龍のたてがみ,2,炎龍の尖爪,1,蛮顎竜の大鼻骨,2,,,,,,,770,
バゼルメイル,0,7,1,1,0,,72,130,3,1,-4,-2,-2,ガード強化,2,挑戦者,1,,,,,,,爆鱗竜の上鱗,4,爆鱗竜の堅殻,1,爆鱗竜の尖爪,2,怨虎竜の上鱗,2,,,,,,,780,
しまきのむなさき,0,7,0,0,0,,66,124,-1,0,0,0,-2,風紋の一致,1,ガード性能,1,ひるみ軽減,1,風雷合一,1,,,風神龍の風袋,2,風神龍の堅殻,3,風神龍の尖角,1,火竜の翼膜,2,,,,,,,790,
なるかみのむなさき,0,7,0,0,0,,76,134,2,1,4,-3,-4,雷紋の一致,1,体術,1,抜刀術【技】,1,風雷合一,1,,,雷神龍の雷袋,2,雷神龍の上皮,4,雷神龍の堅殻,1,雷狼竜の高電毛,2,,,,,,,800,
赫耀ノメイル,0,7,3,1,0,,80,138,-2,-2,-2,-2,3,龍気活性,1,死中に活,2,,,,,,,天彗龍の背尖甲,2,赫揺れる龍鱗,6,赫赫の槍翼,2,怨虎竜の魂結晶,2,,,,,,,820,
蒼世ノ侍【羽織】,0,7,2,0,0,,72,130,2,2,0,0,2,体術,2,弱点特効,1,,,,,,,,,,,,,,,,,,,,,840,
カムラノ装【上衣】継,0,8,1,1,0,,80,152,2,0,0,0,0,翔蟲使い,2,壁面移動,1,見切り,1,,,,,,,,,,,,,,,,,,,5000,1
レザーＸベスト,0,8,4,0,0,,80,152,0,0,0,0,0,植生学,2,体力回復量ＵＰ,1,,,,,,,,,,,,,,,,,,,,,5010,1
チェーンＸベスト,0,8,4,0,0,,82,154,0,0,1,0,0,防御,1,ひるみ軽減,2,ガード性能,1,,,,,,,,,,,,,,,,,,,5020,1
ハンターＸメイル,0,8,1,0,0,,82,154,0,0,0,0,0,攻撃,1,匠,1,アイテム使用強化,1,,,,,,,,,,,,,,,,,,,5030,1
アロイＸメイル,0,8,3,0,0,,82,154,-1,0,-1,-1,0,砥石使用高速化,2,剛刃研磨,2,,,,,,,,,,,,,,,,,,,,,5040,1
ボーンＸメイル,0,8,3,0,0,,82,154,0,0,0,-1,0,スタミナ奪取,1,ランナー,2,,,,,,,,,,,,,,,,,,,,,5050,1
リノプロＸメイル,0,8,4,1,0,,90,162,2,0,0,-2,0,砲術,1,気絶耐性,2,,,,,,,,,,,,,,,,,,,,,5060,1
ドロスＸメイル,0,8,4,2,0,,90,162,-2,4,-1,0,0,水属性攻撃強化,2,,,,,,,,,,,,,,,,,,,,,,,5070,1
ブナハＸスーツ,0,8,3,1,0,,84,156,-2,0,0,0,2,麻痺属性強化,1,回避性能,2,,,,,,,,,,,,,,,,,,,,,5080,1
タロスメイル,0,8,4,0,0,,86,158,-1,-1,-1,-1,4,龍属性攻撃強化,2,体力回復量ＵＰ,1,,,,,,,,,,,,,,,,,,,,,5090,1
ランゴメイル,0,8,4,1,0,,84,156,-2,1,1,1,2,納刀術,1,麻痺耐性,2,,,,,,,,,,,,,,,,,,,,,5100,1
ランポスメイル,0,8,4,1,0,,86,158,0,0,0,-2,0,攻撃,1,風圧耐性,1,,,,,,,,,,,,,,,,,,,,,5130,1
イズチＸメイル,0,8,1,0,0,,86,158,2,-1,-2,0,0,見切り,2,回復速度,2,回避性能,1,,,,,,,,,,,,,,,,,,,5140,1
バギィＸメイル,0,8,4,0,0,,86,158,-4,-1,-1,2,1,攻撃,1,睡眠属性強化,1,,,,,,,,,,,,,,,,,,,,,5150,1
クルルＸメイル,0,8,2,1,0,,86,158,0,-3,0,1,0,ＫＯ術,2,納刀術,1,,,,,,,,,,,,,,,,,,,,,5160,1
フロギィＸメイル,0,8,4,0,0,,88,160,2,-2,1,-4,0,速射強化,1,毒属性強化,1,毒耐性,1,,,,,,,,,,,,,,,,,,,5170,1
アシラＸメイル,0,8,4,0,0,,86,158,-2,0,-2,0,0,逆襲,1,逆恨み,1,,,,,,,,,,,,,,,,,,,,,5180,1
ウルクＸメイル,0,8,1,1,0,,86,158,-3,1,0,3,0,滑走強化,1,体術,2,達人芸,1,装填速度,1,,,,,,,,,,,,,,,,,5190,1
ラングロＸメイル,0,8,2,0,0,,94,166,2,-3,0,-1,1,高速変形,1,ジャンプ鉄人,1,耳栓,1,,,,,,,,,,,,,,,,,,,5200,1
アケノＸメイル,0,8,1,1,0,,88,160,3,-3,-1,0,0,納刀術,1,フルチャージ,1,抜刀術【技】,1,,,,,,,,,,,,,,,,,,,5210,1
ルドロスＸメイル,0,8,4,0,0,,92,164,-3,4,-1,0,0,スタミナ急速回復,2,集中,1,,,,,,,,,,,,,,,,,,,,,5220,1
ボロスＸメイル,0,8,4,0,0,,94,166,-3,-1,3,-1,0,攻撃,2,防御,2,泥雪耐性,2,,,,,,,,,,,,,,,,,,,5230,1
ザザミメイル,0,8,1,0,0,,94,166,-5,1,-3,-1,2,ガード性能,3,砲弾装填,1,通常弾・連射矢強化,1,装填拡張,1,,,,,,,,,,,,,,,,,5240,1
ヨツミＸメイル,0,8,2,0,0,,90,162,-1,4,-2,1,0,通常弾・連射矢強化,1,回避距離ＵＰ,1,早食い,1,,,,,,,,,,,,,,,,,,,5250,1
インゴットＸメイル,0,8,3,1,0,,94,158,-1,-1,1,0,0,風圧耐性,2,見切り,2,,,,,,,,,,,,,,,,,,,,,5260,2
スカルダＸペット,1,8,3,0,0,,98,162,3,-1,-1,-1,3,力の解放,2,心眼,1,,,,,,,,,,,,,,,,,,,,,5270,2
スパイオＸペット,2,8,3,0,0,,98,162,3,-1,-1,-1,3,力の解放,2,心眼,1,,,,,,,,,,,,,,,,,,,,,5280,2
混沌のカイ・真,0,8,2,1,0,,98,162,2,-2,0,0,0,キノコ大好き,2,笛吹き名人,1,,,,,,,,,,,,,,,,,,,,,5290,2
エーデルＸトロンコ,0,8,3,1,0,,96,160,-1,3,-1,0,0,体力回復量ＵＰ,2,広域化,1,,,,,,,,,,,,,,,,,,,,,5300,2
アルブーロＸベスト,0,8,1,1,0,,96,160,0,2,1,-1,0,通常弾・連射矢強化,1,貫通弾・貫通矢強化,1,チューンアップ,1,,,,,,,,,,,,,,,,,,,5310,2
メルホアＸトロンコ,0,8,4,1,0,,92,162,0,1,3,0,0,植生学,2,体力回復量ＵＰ,1,精霊の加護,1,,,,,,,,,,,,,,,,,,,5320,2
ゴギョウノカリギヌ,0,8,4,0,0,,100,164,0,0,0,0,3,属性やられ耐性,1,心眼,2,,,,,,,,,,,,,,,,,,,,,5330,2
軽装騎士【胸当て】,0,8,1,1,0,,100,160,1,1,1,1,1,業物,1,ひるみ軽減,1,攻めの守勢,2,,,,,,,,,,,,,,,,,,,5340,3
ユクモノドウギ,0,8,1,0,0,,92,156,0,0,2,0,0,見切り,1,耳栓,2,,,,,,,,,,,,,,,,,,,,,5350,2
ズワロＸマント,0,8,4,1,0,,92,156,-2,2,0,-1,1,満足感,2,アイテム使用強化,2,,,,,,,,,,,,,,,,,,,,,5360,2
フルフルＸメイル,0,8,1,1,1,,96,160,-4,1,4,2,1,壁面移動,2,体力回復量ＵＰ,2,,,,,,,,,,,,,,,,,,,,,5370,2
テンゴＸメイル,0,8,4,0,0,,96,160,-2,2,2,-4,2,広域化,3,,,,,,,,,,,,,,,,,,,,,,,5380,2
テンゴＺメイル,0,8,4,1,1,,96,160,2,-4,-2,0,2,納刀術,1,火耐性,2,回復速度,3,,,,,,,,,,,,,,,,,,,5390,2
プケプケＸメイル,0,8,2,0,0,,96,160,0,3,-3,0,1,特殊射撃強化,1,体術,3,砥石使用高速化,2,,,,,,,,,,,,,,,,,,,5400,2
ジュラＸメイル,0,8,1,1,1,,96,160,-1,2,-3,0,0,強化持続,2,回避距離ＵＰ,1,逆恨み,1,チューンアップ,1,,,,,,,,,,,,,,,,,5410,2
バサルＸメイル,0,8,1,1,0,,100,164,0,-2,1,1,-3,ガード性能,2,砲弾装填,1,力の解放,1,,,,,,,,,,,,,,,,,,,5420,2
イソネＸメイル,0,8,3,1,1,,96,160,-1,2,-3,0,1,睡眠属性強化,1,装填拡張,1,,,,,,,,,,,,,,,,,,,,,5430,2
イソネＺメイル,0,8,4,0,0,,108,168,-3,1,-1,3,2,会心撃【属性】,1,挑戦者,2,,,,,,,,,,,,,,,,,,,,,5440,3
レイアＸメイル,0,8,4,1,1,,96,160,3,0,-2,0,-3,体力回復量ＵＰ,1,毒耐性,2,満足感,1,,,,,,,,,,,,,,,,,,,5450,2
カガチＸメイル,0,8,4,0,0,,96,160,0,-3,3,0,0,心眼,1,見切り,1,会心撃【属性】,1,,,,,,,,,,,,,,,,,,,5460,2
ジャナフＸメイル,0,8,1,1,0,,98,162,3,-3,-1,-1,0,集中,2,ランナー,1,挑戦者,1,,,,,,,,,,,,,,,,,,,5470,2
ドーベルＸメイル,0,8,1,0,0,,104,164,-2,0,0,0,4,龍属性攻撃強化,1,集中,1,強化持続,1,火事場力,2,,,,,,,,,,,,,,,,,5490,3
ヴァイクＸメイル,0,8,3,2,1,,100,160,0,3,-2,-1,0,腹減り耐性,1,,,,,,,,,,,,,,,,,,,,,,,5500,3
マギュルＸトロンコ,0,8,4,1,0,,100,160,-3,1,0,3,0,チューンアップ,1,ブレ抑制,1,,,,,,,,,,,,,,,,,,,,,5510,3
デスギアＸムスケル,0,8,2,0,0,,110,170,3,1,1,-1,0,不屈,1,高速変形,2,砥石使用高速化,1,,,,,,,,,,,,,,,,,,,5520,3
マカルパＸペプラム,0,8,2,1,0,,104,164,1,2,-2,0,0,水属性攻撃強化,3,早食い,1,スタミナ急速回復,1,,,,,,,,,,,,,,,,,,,5530,3
ロワーガＸペット,1,8,1,1,0,,110,170,-2,0,3,-2,2,会心撃【属性】,1,見切り,3,龍属性攻撃強化,1,,,,,,,,,,,,,,,,,,,5540,3
ファルメルＸペット,2,8,1,1,0,,110,170,-2,0,3,-2,2,会心撃【属性】,1,見切り,3,龍属性攻撃強化,1,,,,,,,,,,,,,,,,,,,5550,3
砲術隊【胴】,0,8,0,0,0,,106,166,1,1,1,1,1,弾導強化,3,反動軽減,1,回避距離ＵＰ,1,,,,,,,,,,,,,,,,,,,5560,3
ギルドバードスーツ,1,8,4,0,0,,104,164,0,0,0,0,0,回避性能,1,精霊の加護,1,幸運,1,,,,,,,,,,,,,,,,,,,5570,3
スカラースーツ,2,8,4,0,0,,104,164,0,0,0,0,0,回避性能,1,精霊の加護,1,幸運,1,,,,,,,,,,,,,,,,,,,5580,3
ガーディアンスーツ,0,8,4,1,0,,108,168,2,0,0,2,3,ガード性能,1,砥石使用高速化,1,属性やられ耐性,1,,,,,,,,,,,,,,,,,,,5590,3
ブリゲイドＸスーツ,0,8,3,2,0,,106,166,1,0,2,0,2,捕獲名人,1,地質学,1,ランナー,1,,,,,,,,,,,,,,,,,,,5600,3
ベリオＸメイル,0,8,2,2,1,,108,168,-5,0,-1,3,0,納刀術,1,渾身,2,,,,,,,,,,,,,,,,,,,,,5610,3
禍鎧・真【胸当て】,0,8,2,0,0,,110,170,3,-3,-2,1,1,鬼火纏,1,逆恨み,1,耳栓,1,,,,,,,,,,,,,,,,,,,5620,3
ナルガＸメイル,0,8,3,1,0,,108,168,-2,1,-3,1,1,回避性能,1,見切り,2,ひるみ軽減,1,,,,,,,,,,,,,,,,,,,5630,3
ゴシャＸメイル,0,8,2,1,0,,106,166,-4,1,-1,4,0,抜刀術【技】,1,逆恨み,3,,,,,,,,,,,,,,,,,,,,,5640,3
