#名前,"性別(0=両,1=男,2=女)",レア度,スロット1,スロット2,スロット3,入手時期,初期防御力,最終防御力,火耐性,水耐性,雷耐性,氷耐性,龍耐性,スキル系統1,スキル値1,スキル系統2,スキル値2,スキル系統3,スキル値3,スキル系統4,スキル値4,スキル系統5,スキル値5,生産素材1,個数,生産素材2,個数,生産素材3,個数,生産素材4,個数,カスタム強化防御力,カスタム強化素材1,個数1,カスタム強化素材2,個数2,ワンセット防具,仮番号,錬成テーブル
ジンオウＳヘルム,0,6,1,0,0,6,62,120,0,-1,4,-4,1,力の解放,1,弱点特効,1,,,,,,,雷狼竜の尖角,2,雷狼竜の高電毛,3,超電雷光虫,3,天狗獣の剛毛,2,,,,,,,580,
ロワーガＳテスタ,1,6,1,0,0,,62,106,-2,0,3,-2,2,会心撃【属性】,2,,,,,,,,,オオクワアゲハ,2,埋もれた竜骨骸,2,雌火竜の堅殻,2,妃蜘蛛の堅殻,1,,,,,,,590,
ファルメルＳテスタ,2,6,1,0,0,,62,100,-2,0,3,-2,2,会心撃【属性】,2,,,,,,,,,オオクワアゲハ,2,埋もれた竜骨骸,2,雌火竜の堅殻,2,妃蜘蛛の堅殻,1,,,,,,,600,
メデュレトＳハット,0,6,3,0,0,,62,106,1,3,0,2,0,破壊王,1,精霊の加護,1,,,,,,,ゴスゴシックラゲ,1,河童蛙の上皮,2,堅竜骨,2,ノヴァクリスタル,1,,,,,,,610,
ブリゲイドＳロポス,0,6,3,1,0,,62,106,1,0,2,0,2,植生学,2,,,,,,,,,狩猟王のコイン,4,ラージャンコイン,1,ベリオコイン,2,堅竜骨,4,,,,,,,620,
強弓の羽根飾り,0,6,0,0,0,,56,100,0,0,0,0,0,弓溜め段階解放,1,,,,,,,,,撃龍王のコイン,2,狩猟王のコイン,3,ラージャンコイン,3,ベリオコイン,2,,,,,,,630,
ガーグァＳフェイク,0,6,0,0,0,,54,98,-3,-2,-2,1,0,飛び込み,1,幸運,1,,,,,,,丸鳥の羽,2,堅竜骨,4,ジャグラスの上皮,3,黄金色の粘泥土,2,,,,,,,640,
禍鎧・覇【兜】,0,6,2,0,0,7,64,122,3,-3,-2,1,1,逆恨み,1,匠,1,ひるみ軽減,1,,,,,怨虎竜の剛兜角,1,怨虎竜の堅殻,4,怨虎竜の上鱗,1,鎌鼬竜の上刃尾,1,,,,,,,650,
ゴシャＳヘルム,0,6,1,1,0,7,64,122,-4,1,-1,4,0,抜刀術【技】,1,挑戦者,1,,,,,,,雪鬼獣の尖角,2,雪鬼獣の剛毛,4,堅牢な巨骨,1,白兎獣の剛毛,2,,,,,,,660,
オロミドＳヘルム,0,6,2,2,0,7,64,122,-4,3,3,-2,-2,高速変形,2,,,,,,,,,泥翁竜の長髭,2,泥翁竜の上鱗,4,泥翁竜の堅殻,1,豊沃なドロ,2,,,,,,,670,
レックスＳヘルム,0,6,2,1,0,7,64,122,2,0,-3,0,-2,耳栓,1,早食い,1,,,,,,,轟竜のアギト,1,轟竜の上鱗,4,轟竜の尖爪,1,ジャグラスの上皮,2,,,,,,,680,
ディアブロＳヘルム,0,6,2,0,0,7,64,122,3,-1,-1,-3,-1,ガード性能,1,スタミナ急速回復,1,,,,,,,角竜の堅殻,4,角竜の牙,2,上質なねじれた角,1,竜玉,1,,,,,,,690,
ヤツカダヘルム,0,6,1,1,0,7,66,124,4,-2,-1,-3,1,散弾・拡散矢強化,1,装填速度,1,,,,,,,妃蜘蛛の絹糸,3,妃蜘蛛の堅殻,3,妃蜘蛛の鋭爪,1,臣蜘蛛の絹糸,2,,,,,,,700,
金色ノ添髪,0,7,2,1,0,7,70,128,2,1,3,-5,2,火事場力,2,渾身,1,,,,,,,金獅子の黒毛,3,金獅子の尖角,2,黄金の毛,1,金獅子の鋭牙,3,,,,,,,710,
ダマスクヘルム,0,7,0,0,0,,68,126,-1,2,-3,1,-1,耐震,2,耳栓,2,,,,,,,古龍の血,2,怨虎竜の堅殻,2,妃蜘蛛の鉤棘,1,獄炎石,1,,,,,,,720,
炎の封眼,0,7,0,0,0,,56,114,3,0,0,0,0,見切り,4,,,,,,,,,金獅子の黒毛,2,爆鱗竜の上鱗,2,怨虎竜の妖刀殻,2,古龍の血,2,,,,,,,730,
練達の羽根飾り,0,7,0,0,0,,56,114,0,0,0,0,0,剥ぎ取り名人,1,,,,,,,,,,,,,,,,,,,,,,,740,
クシャナアンク,0,7,1,0,0,,74,132,-1,2,-2,3,-3,匠,2,通常弾・連射矢強化,2,,,,,,,鋼龍の尖角,3,鋼龍の堅殻,4,鋼龍の翼,2,角竜の堅甲,3,,,,,,,750,
ミヅハ【烏帽子】,0,7,1,0,0,,74,132,-5,1,0,3,-3,心眼,2,弾導強化,2,回避性能,2,,,,,霞龍の尖角,2,霞龍の上皮,5,霞龍の尖爪,1,猛毒袋,3,,,,,,,760,
カイザークラウン,0,7,1,0,0,,74,132,4,-4,1,-1,-3,見切り,3,超会心,1,,,,,,,炎王龍のたてがみ,3,炎王龍の堅殻,5,炎王龍の尖角,1,怨虎竜の魂結晶,2,,,,,,,770,
バゼルヘルム,0,7,2,0,0,,72,130,3,1,-4,-2,-2,砲術,1,ガード性能,1,,,,,,,爆鱗竜の上鱗,4,爆鱗竜の尖爪,2,爆鱗竜の堅殻,1,泥翁竜の堅殻,2,,,,,,,780,
しまきのこうべ,0,7,0,0,0,7,66,124,-1,0,0,0,-2,風紋の一致,1,集中,1,回避距離ＵＰ,1,風雷合一,1,,,風神龍の尖角,1,風神龍の堅殻,5,風神龍の碧棘,2,雌火竜の翼膜,1,,,,,,,790,
なるかみのこうべ,0,7,0,0,0,7,76,134,2,1,4,-3,-4,雷紋の一致,1,高速変形,1,攻めの守勢,1,風雷合一,1,,,雷神龍の尖角,2,雷神龍の堅殻,5,雷神龍の触手,1,雷神の龍玉,1,,,,,,,800,
知略の眼鏡,0,6,2,2,0,,60,106,2,2,2,2,2,地質学,2,,,,,,,,,知識の結晶,4,ヌシの熊掌,2,獄炎石,2,古龍の血,2,,,,,,,810,
赫耀ノヘルム,0,7,2,1,0,,80,138,-2,-2,-2,-2,3,龍気活性,1,弱点特効,1,,,,,,,奇絶の赫灼殻,5,煮えたぎる赫耀液,2,天彗龍の尖爪,2,妃蜘蛛の灯腹,2,,,,,,,820,
蒼世ノ侍【艶髪】,0,7,2,1,0,,72,130,2,2,0,0,2,体術,2,水属性攻撃強化,2,,,,,,,,,,,,,,,,,,,,,840,
カムラノ装【頭巾】継,0,8,2,0,0,,80,152,2,0,0,0,0,精霊の加護,2,死中に活,1,,,,,,,,,,,,,,,,,,,,,5000,1
レザーＸヘッド,0,8,4,1,0,,80,152,0,0,0,0,0,地質学,1,腹減り耐性,1,剥ぎ取り鉄人,1,,,,,,,,,,,,,,,,,,,5010,1
チェーンＸヘッド,0,8,4,0,0,,82,154,0,0,1,0,0,スタミナ急速回復,1,防御,2,,,,,,,,,,,,,,,,,,,,,5020,1
ハンターＸヘルム,0,8,2,0,0,,82,154,0,0,0,0,0,アイテム使用強化,1,攻撃,2,,,,,,,,,,,,,,,,,,,,,5030,1
アロイＸヘルム,0,8,4,0,0,,82,154,-1,0,-1,-1,0,水属性攻撃強化,1,剛刃研磨,1,砥石使用高速化,1,,,,,,,,,,,,,,,,,,,5040,1
ボーンＸヘルム,0,8,4,0,0,,82,154,0,0,0,-1,0,スタミナ奪取,1,破壊王,1,,,,,,,,,,,,,,,,,,,,,5050,1
ガーグァＸフェイク,0,8,4,0,0,,86,158,-3,-2,-2,1,0,飛び込み,1,幸運,2,,,,,,,,,,,,,,,,,,,,,5055,1
リノプロＸヘルム,0,8,2,0,0,,90,162,2,0,0,-2,0,貫通弾・貫通矢強化,2,気絶耐性,1,泥雪耐性,1,,,,,,,,,,,,,,,,,,,5060,1
ファンゴＸフェイク,0,8,3,0,0,,86,158,0,4,-2,0,0,陽動,1,挑戦者,3,,,,,,,,,,,,,,,,,,,,,5075,1
ブナハＸハット,0,8,4,1,0,,84,156,-2,0,0,0,2,毒属性強化,1,反動軽減,2,,,,,,,,,,,,,,,,,,,,,5080,1
タロスヘルム,0,8,3,0,0,,86,158,-1,-1,-1,-1,4,死中に活,2,体力回復量ＵＰ,1,,,,,,,,,,,,,,,,,,,,,5090,1
ランゴヘルム,0,8,4,0,0,,84,156,-2,1,1,1,2,麻痺属性強化,1,翔蟲使い,2,,,,,,,,,,,,,,,,,,,,,5100,1
ジャギィＸフェイク,0,8,3,1,0,,86,158,0,0,0,0,0,滑走強化,1,ランナー,2,,,,,,,,,,,,,,,,,,,,,5120,1
ランポスヘルム,0,8,4,1,0,,86,158,0,0,0,-2,0,攻撃,1,気絶耐性,1,,,,,,,,,,,,,,,,,,,,,5130,1
イズチＸヘルム,0,8,1,1,0,,86,158,2,-1,-2,0,0,見切り,1,回避性能,2,,,,,,,,,,,,,,,,,,,,,5140,1
バギィＸヘルム,0,8,4,1,0,,86,158,-4,-1,-1,2,1,睡眠属性強化,1,氷耐性,1,,,,,,,,,,,,,,,,,,,,,5150,1
クルルＸヘルム,0,8,1,1,0,,86,158,0,-3,0,1,0,渾身,2,納刀術,1,気絶耐性,1,,,,,,,,,,,,,,,,,,,5160,1
フロギィＸヘルム,0,8,1,0,0,,88,160,2,-2,1,-4,0,速射強化,2,回避距離ＵＰ,1,,,,,,,,,,,,,,,,,,,,,5170,1
アシラＸヘルム,0,8,1,1,1,,86,158,-2,0,-2,0,0,不屈,1,防御,3,早食い,1,,,,,,,,,,,,,,,,,,,5180,1
ウルクＸヘルム,0,8,3,0,0,,86,158,-3,1,0,3,0,見切り,1,氷属性攻撃強化,2,達人芸,1,装填速度,1,,,,,,,,,,,,,,,,,5190,1
ラングロＸヘルム,0,8,1,1,1,,94,166,2,-3,0,-1,1,麻痺属性強化,2,耳栓,1,,,,,,,,,,,,,,,,,,,,,5200,1
アケノＸヘルム,0,8,2,0,0,,88,160,3,-3,-1,0,0,納刀術,1,火属性攻撃強化,1,抜刀術【技】,1,,,,,,,,,,,,,,,,,,,5210,1
ルドロスＸヘルム,0,8,2,1,0,,92,164,-3,4,-1,0,0,ランナー,1,フルチャージ,1,集中,1,,,,,,,,,,,,,,,,,,,5220,1
ボロスＸヘルム,0,8,4,1,0,,94,166,-3,-1,3,-1,0,攻撃,1,防御,1,攻めの守勢,1,散弾・拡散矢強化,1,,,,,,,,,,,,,,,,,5230,1
ザザミヘルム,0,8,1,0,0,,94,166,-5,1,-3,-1,2,納刀術,2,耐震,2,,,,,,,,,,,,,,,,,,,,,5240,1
ヨツミＸヘルム,0,8,1,0,0,,90,162,-1,4,-2,1,0,通常弾・連射矢強化,2,早食い,1,,,,,,,,,,,,,,,,,,,,,5250,1
インゴットＸヘルム,0,8,4,1,0,,94,158,-1,-1,1,0,0,風圧耐性,1,攻撃,2,,,,,,,,,,,,,,,,,,,,,5260,2
スカルダＸテスタ,1,8,4,0,0,,98,162,3,-1,-1,-1,3,毒属性強化,3,力の解放,1,,,,,,,,,,,,,,,,,,,,,5270,2
スパイオＸテスタ,2,8,4,0,0,,98,162,3,-1,-1,-1,3,毒属性強化,3,力の解放,1,,,,,,,,,,,,,,,,,,,,,5280,2
混沌のパオ・真,0,8,3,1,1,,98,162,2,-2,0,0,0,キノコ大好き,1,早食い,1,,,,,,,,,,,,,,,,,,,,,5290,2
エーデルＸフロール,0,8,4,2,0,,96,160,-1,3,-1,0,0,毒耐性,2,早食い,1,,,,,,,,,,,,,,,,,,,,,5300,2
アルブーロＸヘッド,0,8,2,1,0,,96,160,0,2,1,-1,0,弾導強化,2,ブレ抑制,2,チューンアップ,1,,,,,,,,,,,,,,,,,,,5310,2
メルホアＸフロール,0,8,4,2,0,,92,162,0,1,3,0,0,麻痺耐性,2,精霊の加護,2,,,,,,,,,,,,,,,,,,,,,5320,2
ゴギョウノゾウメン,0,8,2,0,0,,100,164,0,0,0,0,3,鬼火纏,2,心眼,1,弾導強化,1,,,,,,,,,,,,,,,,,,,5330,2
軽装騎士【耳飾】,0,8,1,0,0,,100,160,1,1,1,1,1,攻撃,2,早食い,3,,,,,,,,,,,,,,,,,,,,,5340,3
ユクモノカサ,0,8,2,0,0,,92,156,0,0,2,0,0,見切り,2,回避性能,1,体力回復量ＵＰ,1,,,,,,,,,,,,,,,,,,,5350,2
ズワロＸフード,0,8,3,2,0,,92,156,-2,2,0,-1,1,満足感,1,陽動,1,早食い,2,,,,,,,,,,,,,,,,,,,5360,2
フルフルＸヘルム,0,8,4,0,0,,96,160,-4,1,4,2,1,集中,1,体力回復量ＵＰ,1,雷属性攻撃強化,2,,,,,,,,,,,,,,,,,,,5370,2
テンゴＸヘルム,0,8,2,1,0,,96,160,-2,2,2,-4,2,アイテム使用強化,1,広域化,2,気絶耐性,2,,,,,,,,,,,,,,,,,,,5380,2
テンゴＺヘルム,0,8,3,2,0,,96,160,2,-4,-2,0,2,爆破属性強化,1,力の解放,2,,,,,,,,,,,,,,,,,,,,,5390,2
プケプケＸヘルム,0,8,4,0,0,,96,160,0,3,-3,0,1,特殊射撃強化,1,弾丸節約,1,毒属性強化,1,,,,,,,,,,,,,,,,,,,5400,2
ジュラＸヘルム,0,8,2,1,0,,96,160,-1,2,-3,0,0,攻めの守勢,1,回避距離ＵＰ,2,逆恨み,1,,,,,,,,,,,,,,,,,,,5410,2
バサルＸヘルム,0,8,2,1,0,,100,164,0,-2,1,1,-3,砲弾装填,1,防御,2,砲術,2,,,,,,,,,,,,,,,,,,,5420,2
イソネＸヘルム,0,8,2,2,0,,96,160,-1,2,-3,0,1,睡眠属性強化,1,睡眠耐性,2,弾丸節約,1,,,,,,,,,,,,,,,,,,,5430,2
イソネＺヘルム,0,8,2,2,0,,108,168,-3,1,-1,3,2,達人芸,1,挑戦者,2,,,,,,,,,,,,,,,,,,,,,5440,3
レイアＸヘルム,0,8,4,1,0,,96,160,3,0,-2,0,-3,属性やられ耐性,1,毒耐性,1,挑戦者,1,,,,,,,,,,,,,,,,,,,5450,2
カガチＸヘルム,0,8,1,1,0,,96,160,0,-3,3,0,0,ジャンプ鉄人,1,体術,1,見切り,3,,,,,,,,,,,,,,,,,,,5460,2
ジャナフＸヘルム,0,8,3,0,0,,98,162,3,-3,-1,-1,0,集中,1,ＫＯ術,1,攻撃,1,,,,,,,,,,,,,,,,,,,5470,2
スカルＸヘッド,0,8,4,0,0,,104,164,-3,-3,-3,-3,4,不屈,1,匠,1,,,,,,,,,,,,,,,,,,,,,5480,3
ドーベルＸヘルム,0,8,2,1,0,,104,164,-2,0,0,0,4,龍属性攻撃強化,1,攻撃,1,火事場力,1,ランナー,1,,,,,,,,,,,,,,,,,5490,3
ヴァイクＸヘルム,0,8,3,1,0,,100,160,0,3,-2,-1,0,装填拡張,2,回復速度,1,,,,,,,,,,,,,,,,,,,,,5500,3
マギュルＸフロール,0,8,3,2,0,,100,160,-3,1,0,3,0,爆破やられ耐性,2,火属性攻撃強化,2,会心撃【属性】,1,,,,,,,,,,,,,,,,,,,5510,3
デスギアＸゲヒル,0,8,3,0,0,,110,170,3,1,1,-1,0,剛刃研磨,1,砥石使用高速化,2,攻撃,1,,,,,,,,,,,,,,,,,,,5520,3
マカルパＸフード,0,8,2,2,0,,104,164,1,2,-2,0,0,睡眠耐性,2,早食い,1,スタミナ急速回復,1,,,,,,,,,,,,,,,,,,,5530,3
ロワーガＸテスタ,1,8,2,0,0,,110,170,-2,0,3,-2,2,会心撃【属性】,2,回避性能,2,,,,,,,,,,,,,,,,,,,,,5540,3
